Date,Total
Jan-15,32156481
Feb-15,29603197
Mar-15,32793427
Apr-15,30356911
May-15,33099974
Jun-15,34253633
Jul-15,32971654
Aug-15,32860434
Sep-15,31813870
Oct-15,32230687
Nov-15,34848488
Dec-15,37927109
Jan-16,38692210
Feb-16,36435679
Mar-16,40522562
Apr-16,40782271
May-16,46328771
Jun-16,47604252
Jul-16,40052346
Aug-16,44259330
Sep-16,43062221
Oct-16,45746087
Nov-16,48930804
Dec-16,52153203
Jan-17,52213447
Feb-17,47419520
Mar-17,55266126
Apr-17,55466330
May-17,61152539
Jun-17,60737403
Jul-17,54433195
Aug-17,62728160
Sep-17,56276077
Oct-17,64271048
Nov-17,65979920
Dec-17,72175327
Jan-18,70458812
Feb-18,67726393
Mar-18,82519075
Apr-18,82452555
May-18,85957092
Jun-18,80210812
Jul-18,85535661
Aug-18,86873424
Sep-18,88534028
Oct-18,95900178
Nov-18,98443013
Dec-18,106907147
Jan-19,106357197
Feb-19,98994794
Mar-19,120774628
Apr-19,121526117
May-19,126950082
Jun-19,113896036
Jul-19,132533739
Aug-19,138025343
Sep-19,148471186
Oct-19,164206298
Nov-19,170308609
Dec-19,180958712
Jan-20,186144169
Feb-20,183334456
Mar-20,174502566
Apr-20,121834258
May-20,159386224
Jun-20,220800655
Jul-20,268319674
Aug-20,268505194
Sep-20,291969968
Oct-20,313552990
Nov-20,317918654
Dec-20,346595474
Jan-21,355954432
Feb-21,313768653
Mar-21,395921696
Apr-21,371342901
May-21,407176207
Jun-21,427322282
Jul-21,448847985
Aug-21,465810703
Sep-21,468901582
Oct-21,495077645
Nov-21,495093756
Dec-21,525937084
Jan-22,535675817
Feb-22,496263284
Mar-22,602242920
Apr-22,531299278
May-22,572909598
Jun-22,605017978
Jul-22,611498426
Aug-22,644903589
Sep-22,644414261
Oct-22,669108839
Nov-22,656246635
Dec-22,691923897
Jan-23,688367844
"  *    End of period. Includes terminals issued by banks and payment companies. <br>
** Including transactions of mada cards through online shopping sites and in-app purchases. It does not include transactions by Visa, MasterCard and other credit cards.  <br />",
